product_id,product_name,category,price
1,Product_1,Fashion,3215.6
2,Product_2,Books,3866.31
3,Product_3,Books,2335.13
4,Product_4,Electronics,2470.25
5,Product_5,Home,2134.45
6,Product_6,Electronics,4975.52
7,Product_7,Fashion,1902.05
8,Product_8,Home,2988.93
9,Product_9,Fashion,4753.18
10,Product_10,Books,1363.81
11,Product_11,Fashion,3723.65
12,Product_12,Fashion,2224.16
13,Product_13,Books,1155.77
14,Product_14,Books,4751.8
15,Product_15,Books,3609.28
16,Product_16,Electronics,415.76
17,Product_17,Home,4835.92
18,Product_18,Home,3677.81
19,Product_19,Electronics,1340.8
20,Product_20,Books,3896.05
21,Product_21,Electronics,2055.74
22,Product_22,Home,4188.38
23,Product_23,Electronics,2195.66
24,Product_24,Electronics,2793.02
25,Product_25,Books,1798.84
26,Product_26,Electronics,3699.15
27,Product_27,Books,4191.06
28,Product_28,Electronics,4976.12
29,Product_29,Fashion,977.3
30,Product_30,Electronics,3953.48
31,Product_31,Electronics,4345.35
32,Product_32,Electronics,3376.64
33,Product_33,Fashion,3441.6
34,Product_34,Books,4534.88
35,Product_35,Electronics,3069.95
36,Product_36,Books,618.57
37,Product_37,Books,3106.82
38,Product_38,Home,918.9
39,Product_39,Fashion,2141.36
40,Product_40,Fashion,4357.76
41,Product_41,Home,3964.69
42,Product_42,Fashion,4319.14
43,Product_43,Electronics,141.95
44,Product_44,Fashion,4636.48
45,Product_45,Fashion,376.55
46,Product_46,Books,1569.33
47,Product_47,Electronics,1219.94
48,Product_48,Fashion,1424.65
49,Product_49,Home,2117.05
50,Product_50,Home,1355.95
51,Product_51,Books,2848.16
52,Product_52,Electronics,2710.62
53,Product_53,Home,4734.73
54,Product_54,Fashion,1470.98
55,Product_55,Fashion,1408.58
56,Product_56,Home,2543.91
57,Product_57,Books,1284.15
58,Product_58,Home,3068.09
59,Product_59,Home,3722.11
60,Product_60,Books,2720.34
61,Product_61,Electronics,2569.34
62,Product_62,Home,3260.81
63,Product_63,Home,1645.3
64,Product_64,Books,2453.99
65,Product_65,Electronics,726.82
66,Product_66,Home,3521.91
67,Product_67,Home,531.34
68,Product_68,Electronics,2859.06
69,Product_69,Electronics,1208.62
70,Product_70,Home,2564.78
71,Product_71,Fashion,2169.1
72,Product_72,Electronics,3891.57
73,Product_73,Fashion,4128.82
74,Product_74,Home,514.37
75,Product_75,Home,1472.85
76,Product_76,Fashion,1418.46
77,Product_77,Books,213.31
78,Product_78,Fashion,1800.41
79,Product_79,Electronics,1329.03
80,Product_80,Home,3437.89
81,Product_81,Electronics,1800.31
82,Product_82,Electronics,3652.15
83,Product_83,Electronics,1569.93
84,Product_84,Home,1419.75
85,Product_85,Electronics,1872.61
86,Product_86,Electronics,781.27
87,Product_87,Books,1923.08
88,Product_88,Home,559.92
89,Product_89,Fashion,1440.8
90,Product_90,Fashion,4798.86
91,Product_91,Electronics,1826.58
92,Product_92,Home,3070.19
93,Product_93,Fashion,2085.3
94,Product_94,Books,2865.76
95,Product_95,Books,1575.37
96,Product_96,Home,3200.37
97,Product_97,Home,364.3
98,Product_98,Electronics,958.22
99,Product_99,Home,4496.44
100,Product_100,Fashion,2775.19
